"Time, GMT-04:00",Date,Time,Pulaski,Sombrero,Molasses,Fowey
01/02/2010 17:15,1/2/2010,17:15,22.968,23.28,22.968,22.417
01/02/2010 17:30,1/2/2010,17:30,22.968,23.256,22.944,22.417
01/02/2010 17:45,1/2/2010,17:45,22.944,23.232,22.896,22.513
01/02/2010 18:00,1/2/2010,18:00,22.944,23.256,23.016,22.848
01/02/2010 18:15,1/2/2010,18:15,22.92,23.28,23.112,23.16
01/02/2010 18:30,1/2/2010,18:30,22.92,23.328,23.16,23.328
01/02/2010 18:45,1/2/2010,18:45,22.92,23.352,23.184,23.376
01/02/2010 19:00,1/2/2010,19:00,22.92,23.376,23.184,23.424
01/02/2010 19:15,1/2/2010,19:15,22.92,23.4,23.184,23.4
01/02/2010 19:30,1/2/2010,19:30,22.92,23.448,23.136,23.4
01/02/2010 19:45,1/2/2010,19:45,22.896,23.497,23.136,23.352
01/02/2010 20:00,1/2/2010,20:00,22.896,23.521,23.112,23.376
01/02/2010 20:15,1/2/2010,20:15,22.872,23.545,23.016,23.328
01/02/2010 20:30,1/2/2010,20:30,22.872,23.545,22.92,23.112
01/02/2010 20:45,1/2/2010,20:45,22.848,23.521,22.824,23.136
01/02/2010 21:00,1/2/2010,21:00,22.824,23.545,22.8,23.112
01/02/2010 21:15,1/2/2010,21:15,22.824,23.545,22.729,23.088
01/02/2010 21:30,1/2/2010,21:30,22.8,23.545,22.776,23.04
01/02/2010 21:45,1/2/2010,21:45,22.8,23.545,22.8,22.992
01/02/2010 22:00,1/2/2010,22:00,22.776,23.545,22.8,22.968
01/02/2010 22:15,1/2/2010,22:15,22.776,23.545,22.872,22.92
01/02/2010 22:30,1/2/2010,22:30,22.776,23.521,22.944,22.92
01/02/2010 22:45,1/2/2010,22:45,22.776,23.521,22.992,22.896
01/02/2010 23:00,1/2/2010,23:00,22.753,23.521,22.992,22.872
01/02/2010 23:15,1/2/2010,23:15,22.776,23.497,22.968,22.872
01/02/2010 23:30,1/2/2010,23:30,22.753,23.497,22.944,22.824
01/02/2010 23:45,1/2/2010,23:45,22.776,23.472,22.944,22.776
01/03/2010 00:00,1/3/2010,00:00,22.776,23.472,22.92,22.657
01/03/2010 00:15,1/3/2010,00:15,22.729,23.448,22.896,22.633
01/03/2010 00:30,1/3/2010,00:30,22.729,23.448,22.8,22.561
01/03/2010 00:45,1/3/2010,00:45,22.705,23.4,22.729,22.561
01/03/2010 01:00,1/3/2010,01:00,22.729,23.376,22.609,22.513
01/03/2010 01:15,1/3/2010,01:15,22.753,23.328,22.298,22.537
01/03/2010 01:30,1/3/2010,01:30,22.753,23.28,22.274,22.465
01/03/2010 01:45,1/3/2010,01:45,22.753,23.256,22.321,22.657
01/03/2010 02:00,1/3/2010,02:00,22.753,23.208,22.393,22.681
01/03/2010 02:15,1/3/2010,02:15,22.753,23.136,22.393,22.657
01/03/2010 02:30,1/3/2010,02:30,22.753,23.064,22.369,22.585
01/03/2010 02:45,1/3/2010,02:45,22.753,22.992,22.345,22.585
01/03/2010 03:00,1/3/2010,03:00,22.753,22.848,22.274,22.561
01/03/2010 03:15,1/3/2010,03:15,22.753,22.8,22.202,22.513
01/03/2010 03:30,1/3/2010,03:30,22.705,22.633,22.082,22.441
01/03/2010 03:45,1/3/2010,03:45,22.705,22.561,21.963,22.298
01/03/2010 04:00,1/3/2010,04:00,22.705,22.202,21.819,22.011
01/03/2010 04:15,1/3/2010,04:15,22.681,22.106,21.724,21.7
01/03/2010 04:30,1/3/2010,04:30,22.681,22.058,21.557,21.246
01/03/2010 04:45,1/3/2010,04:45,22.681,22.011,21.461,20.984
01/03/2010 05:00,1/3/2010,05:00,22.657,22.011,21.223,20.913
01/03/2010 05:15,1/3/2010,05:15,22.657,22.011,21.175,20.603
01/03/2010 05:30,1/3/2010,05:30,22.633,22.011,21.127,20.531
01/03/2010 05:45,1/3/2010,05:45,22.633,21.987,21.318,20.698
01/03/2010 06:00,1/3/2010,06:00,22.633,21.963,22.369,21.413
01/03/2010 06:15,1/3/2010,06:15,22.633,21.915,22.705,21.795
01/03/2010 06:30,1/3/2010,06:30,22.633,21.843,22.896,22.298
01/03/2010 06:45,1/3/2010,06:45,22.609,21.724,22.968,22.633
01/03/2010 07:00,1/3/2010,07:00,22.585,21.676,23.016,22.8
01/03/2010 07:15,1/3/2010,07:15,22.585,21.604,23.016,22.561
01/03/2010 07:30,1/3/2010,07:30,22.561,21.581,23.088,22.513
01/03/2010 07:45,1/3/2010,07:45,22.537,21.533,23.136,22.465
01/03/2010 08:00,1/3/2010,08:00,22.513,21.748,23.136,22.585
01/03/2010 08:15,1/3/2010,08:15,22.489,22.034,23.208,22.896
01/03/2010 08:30,1/3/2010,08:30,22.441,22.345,23.28,23.328
01/03/2010 08:45,1/3/2010,08:45,22.393,22.561,23.304,23.497
01/03/2010 09:00,1/3/2010,09:00,22.393,22.513,23.256,23.545
